SourceURL,TargetURLReview,TargetURLProd
https://technet.microsoft.com/it-it/library/jj851141(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/jj851141(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/jj851141(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439392(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439392(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439392(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439384(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439384(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439384(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439385(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439385(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439385(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439362(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439362(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439362(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439380(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439380(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439380(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439398(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439398(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439398(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439376(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439376(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439376(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439388(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439388(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439388(v=exchg.80)
https://technet.microsoft.com/it-it/library/dd439390(v=exchg.80),https://review.docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439390(v=exchg.80),https://docs.microsoft.com/it-it/previous-versions/jinhwatest-archive/temp5/dd439390(v=exchg.80)
